Sample_ID	Original_Cluster	Rank
PHOM0483	Cluster 17	3
PHOM0487	Cluster 17	3
PHOM0581	Cluster 17	3
PHOM0597	Cluster 17	3
PHOM0652	Cluster 17	3
0999936085	Cluster 26	4
2000064196	Cluster 26	4
2999935519	Cluster 26	4
2999936447	Cluster 26	4
3000063002	Cluster 26	4
3000064646	Cluster 26	4
4000065368	Cluster 26	4
4000065378	Cluster 26	4
5999935671	Cluster 26	4
6999935223	Cluster 26	4
8999935595	Cluster 26	4
8999935901	Cluster 26	4
9000063834	Cluster 26	4
9999936329	Cluster 26	4
AYUM0207	Cluster 26	4
AYUM0254	Cluster 26	4
AYUM0586	Cluster 26	4
AYUM0637	Cluster 26	4
C_AC0071	Cluster 26	4
C_AC0190	Cluster 26	4
C_AC0351	Cluster 26	4
C_AC0412	Cluster 26	4
C_AC0414	Cluster 26	4
C_AC0442	Cluster 26	4
C_AC0483	Cluster 26	4
C_AC0511	Cluster 26	4
C_AC0517	Cluster 26	4
C_AC0605	Cluster 26	4
C_AC0620	Cluster 26	4
C_AC0722	Cluster 26	4
C_AC0747	Cluster 26	4
C_AC0753	Cluster 26	4
C_AC0817	Cluster 26	4
C_AC0878	Cluster 26	4
C_AC0946	Cluster 26	4
C_AC0964	Cluster 26	4
C_AC1533	Cluster 26	4
C_AC1702	Cluster 26	4
HVUM0324	Cluster 26	4
HVUM0718	Cluster 26	4
LCAC0035	Cluster 26	4
LCAC0055	Cluster 26	4
LCAC0106	Cluster 26	4
LCAC0119	Cluster 26	4
LCAC0196	Cluster 26	4
LCAC0299	Cluster 26	4
LCAC0311	Cluster 26	4
LCAC0367	Cluster 26	4
LCAC0472	Cluster 26	4
LCAC0511	Cluster 26	4
LCAC0651	Cluster 26	4
LCAC0700	Cluster 26	4
LCAC0702	Cluster 26	4
LCAC0718	Cluster 26	4
LCAC0902	Cluster 26	4
LCAC0912	Cluster 26	4
NAG10024	Cluster 26	4
NAG10278	Cluster 26	4
NAG10293	Cluster 26	4
NAG10307	Cluster 26	4
NAG10375	Cluster 26	4
NAG10381	Cluster 26	4
NAG10441	Cluster 26	4
NAG10529	Cluster 26	4
NAG10534	Cluster 26	4
NAG10699	Cluster 26	4
NAG10790	Cluster 26	4
NAG10877	Cluster 26	4
NAG10965	Cluster 26	4
NAG11158	Cluster 26	4
NAG11544	Cluster 26	4
NAG11647	Cluster 26	4
NAG12307	Cluster 26	4
NAG12575	Cluster 26	4
NAG12629	Cluster 26	4
NAG13232	Cluster 26	4
NAG13241	Cluster 26	4
NAG13381	Cluster 26	4
NAG13458	Cluster 26	4
NAG13528	Cluster 26	4
NAG13581	Cluster 26	4
NAG13636	Cluster 26	4
NAG13839	Cluster 26	4
NAG13969	Cluster 26	4
NAG13978	Cluster 26	4
NAG14261	Cluster 26	4
NAG14353	Cluster 26	4
NAG14381	Cluster 26	4
NAG14410	Cluster 26	4
NAG14488	Cluster 26	4
NAG14586	Cluster 26	4
NAG14613	Cluster 26	4
NAG14742	Cluster 26	4
NAG14814	Cluster 26	4
NAG14943	Cluster 26	4
NAG14985	Cluster 26	4
NAG15016	Cluster 26	4
NAG15166	Cluster 26	4
NAG15655	Cluster 26	4
NAG15785	Cluster 26	4
NAG15978	Cluster 26	4
NAG16055	Cluster 26	4
NAG16151	Cluster 26	4
NAG16217	Cluster 26	4
NAG16243	Cluster 26	4
NAG16412	Cluster 26	4
NAG16510	Cluster 26	4
NAG16786	Cluster 26	4
NAG16802	Cluster 26	4
NAG16924	Cluster 26	4
NAG17009	Cluster 26	4
NAG17024	Cluster 26	4
NAG17033	Cluster 26	4
NAG17106	Cluster 26	4
NAG17151	Cluster 26	4
NAG17270	Cluster 26	4
NAG17400	Cluster 26	4
NAG17404	Cluster 26	4
NAG17466	Cluster 26	4
NAG17496	Cluster 26	4
NAG17816	Cluster 26	4
NAG18170	Cluster 26	4
NAG18193	Cluster 26	4
NAG18223	Cluster 26	4
NAG18438	Cluster 26	4
NAG18527	Cluster 26	4
NAG18533	Cluster 26	4
NAG18625	Cluster 26	4
NAG18813	Cluster 26	4
NAG19095	Cluster 26	4
NAG19210	Cluster 26	4
NAG19357	Cluster 26	4
